1,1,8.2,2291
1,2,7.9,1789
1,3,8.0,1687
1,4,7.8,1641
1,5,7.8,1533
1,6,8.2,1573
1,7,8.5,1652
1,8,8.3,1584
1,9,8.3,1605
1,10,8.1,1460
1,11,8.1,1464
1,12,7.9,1504
1,13,8.8,1780
2,1,6.7,1643
2,2,8.5,1532
2,3,8.3,1425
2,4,8.2,1403
2,5,7.9,1326
2,6,7.9,1317
2,7,7.6,1318
2,8,7.7,1236
2,9,7.8,1282
2,10,8.2,1256
2,11,7.8,1237
2,12,8.1,1223
2,13,7.8,1208
2,14,8.0,1260
2,15,8.6,1431
2,16,8.2,1296
2,17,8.5,1381
2,18,8.1,1268
3,1,8.5,1563
3,2,8.3,1301
3,3,8.1,1332
3,4,6.7,1355
3,5,7.8,1288
3,6,8.4,1397
3,7,8.1,1297
3,8,8.2,1242
3,9,7.6,1172
3,10,8.0,1371
3,11,8.7,1593
3,12,8.1,1194
3,13,8.2,1194
3,14,8.4,1263
3,15,7.4,1263
3,16,8.0,1165
3,17,8.2,1158
4,1,8.3,1248
4,2,8.7,1358
4,3,8.3,1248
4,4,7.5,1150
4,5,9.1,1805
4,6,8.2,1173
4,7,8.3,1194
4,8,8.2,1240
4,9,8.4,1266
4,10,8.4,1192
4,11,8.2,1184
4,12,8.2,1211
4,13,8.0,1145
4,14,7.0,1292
4,15,8.6,1376
4,16,8.8,1512
4,17,7.6,1104
5,1,8.5,1403
5,2,8.4,1344
5,3,8.4,1289
5,4,9.6,4925
5,5,7.2,1179
5,6,8.9,1808
5,7,8.6,1378
5,8,8.4,1514
5,9,8.0,1404
5,10,8.1,1300
5,11,8.3,1243
5,12,8.2,1246
5,13,8.9,1762
5,14,8.9,1881
6,1,8.1,1274
6,2,8.4,1463
6,3,8.1,1216
6,4,8.1,1196
6,5,8.2,1349
6,6,8.6,1386
6,7,8.9,1844
6,8,8.3,1346
6,9,8.4,1343
6,10,8.3,1344
6,11,8.6,1358
6,12,8.8,1535
6,13,9.3,2692
6,14,8.8,1530
6,15,8.7,1513
6,16,8.6,1372
6,17,8.1,1252
7,1,8.5,1433
7,2,8.3,1303
7,3,8.4,1308
7,4,8.2,1255
7,5,8.5,1492
7,6,8.6,1331
7,7,7.7,1164
7,8,8.3,1366
7,9,9.1,1956
7,10,8.3,1227
7,11,9.2,2113
7,12,8.9,1846
7,13,8.1,1250
7,14,8.5,1416
7,15,7.8,1190
8,1,9.2,2377
8,2,8.5,1467
8,3,8.7,1776
8,4,8.2,1355
8,5,9.2,2385
8,6,8.7,1631
8,7,8.4,1450
8,8,8.5,1435
8,9,8.7,1465
8,10,8.4,1316
8,11,8.4,1283
8,12,8.6,1538
8,13,8.6,1415
8,14,9.1,2498
9,1,7.7,1379
9,2,8.8,1698
9,3,7.5,1236
9,4,8.7,1470
9,5,8.7,1521
9,6,9.1,2030
9,7,7.7,1248
9,8,8.5,1513
9,9,8.7,1519
9,10,8.0,1198
9,11,8.8,1656
9,12,9.2,2756
9,13,8.2,1377
9,14,7.9,1286
10,1,8.2,1558
10,2,8.2,1421
10,3,8.7,1730
10,4,8.8,1678
10,5,6.3,1798
10,6,8.0,1689
10,7,9.0,2090
10,8,9.6,4678
10,9,8.3,1492
10,10,8.5,1594
10,11,8.1,1389
10,12,8.7,1591
10,13,8.7,1524
10,14,7.4,1700
11,1,8.8,2057
11,2,8.9,1921
11,3,8.0,1535
11,4,8.4,1608
11,5,8.4,1486
11,6,8.0,1532
11,7,8.8,1902
11,8,8.9,1970
11,9,8.0,1616
11,10,9.1,2547
11,11,9.0,2072
11,12,9.0,2055
11,13,8.4,1722
11,14,8.5,1542
12,1,7.9,1525
12,2,7.0,1661
12,3,8.7,1981
12,4,8.0,1486
12,5,7.7,1341
12,6,8.6,1660
12,7,8.3,1407
12,8,7.9,1569
12,9,8.6,1529
12,10,8.1,1246
12,11,7.9,1217
12,12,7.8,1306
12,13,7.8,1243
12,14,7.9,1224
13,1,8.2,1569
13,2,8.4,1609
13,3,8.6,1566
13,4,6.5,1430
13,5,8.8,1995
13,6,7.9,1282
13,7,8.2,1376
13,8,7.8,1260
13,9,8.7,1595
13,10,8.2,1265
13,11,8.2,1307
13,12,8.1,1245
13,13,8.2,1181
13,14,7.7,1158
14,1,7.6,1305
14,2,7.9,1340
14,3,8.7,1737
14,4,8.8,1815
14,5,8.7,1486
14,6,8.7,1258
14,7,6.8,1347
14,8,7.5,1171
14,9,8.0,1290
14,10,8.1,1271
14,11,8.1,1128
14,12,8.3,1180
14,13,8.3,1116
14,14,8.1,1237
15,1,7.7,1674
15,2,6.3,1347
15,3,6.8,1294
15,4,8.0,1195
15,5,7.4,1151
15,6,7.9,1268
15,7,8.6,1677
15,8,8.0,1282
15,9,8.0,1154
15,10,7.5,1057
15,11,7.9,1082
15,12,7.8,1047
15,13,7.3,1041
15,14,7.9,1000
16,1,7.8,1328
16,2,7.9,1220
16,3,7.2,1204
16,4,6.7,1144
16,5,7.6,1120
16,6,6.7,1448
16,7,8.1,1228
16,8,7.5,1149
16,9,8.2,1168
16,10,8.3,1156
16,11,6.5,1002
16,12,8.3,1118
16,13,7.3,914
16,14,7.5,993
17,1,7.5,1250
17,2,8.1,1254
17,3,7.8,1301
17,4,6.9,1123
17,5,7.3,1001
17,6,7.8,1117
17,7,8.9,1848
17,8,8.8,1543
17,9,8.8,1403
17,10,8.5,1301
18,1,7.8,1464
18,2,7.8,1282
18,3,8.6,1573
18,4,7.4,1187
18,5,8.0,1126
18,6,8.3,1216
18,7,9.2,2292
18,8,8.4,1234
18,9,7.5,1012
18,10,6.9,1088
19,1,7.7,1646
19,2,8.3,1479
19,3,7.6,1254
19,4,8.1,1251
19,5,8.6,1413
19,6,7.9,1391
19,7,8.4,1117
19,8,9.1,1520
19,9,8.3,928
19,10,8.0,898
20,1,8.2,1248
20,2,8.3,956
20,3,8.4,895
20,4,8.1,771
20,5,7.5,742
20,6,7.6,711
20,7,7.4,708
20,8,7.7,654
20,9,7.7,575
20,10,7.3,609
